Stimuli,Word,RT(ms),Accuracy(/12subj)
万般,Y,778.25,6
下岗,Y,564,10
下巴,Y,603.6666667,12
不轨,Y,681.5,11
与会,Y,735.0833333,10
专著,Y,680.8333333,12
中标,Y,651.5833333,10
为此,Y,675.3333333,12
主体,Y,631,11
举办,Y,678.5833333,12
乐趣,Y,661.6666667,12
乘坐,Y,630.25,12
乡镇,Y,653.1666667,11
书记,Y,572.6666667,11
亏损,Y,655.8333333,12
产值,Y,589,11
产生,Y,571.3333333,12
亲耳,Y,671.5,8
人次,Y,720.0833333,9
仍旧,Y,645.75,10
从事,Y,587.3333333,11
从而,Y,665,12
以上,Y,689.8333333,11
企鹅,Y,601.4166667,12
优化,Y,615.75,12
优秀,Y,526.1666667,11
会谈,Y,624.9166667,12
伴娘,Y,674.8333333,12
住嘴,Y,622.4166667,12
住处,Y,690.1666667,12
住手,Y,555.9166667,12
体制,Y,590.3333333,12
侍候,Y,668.5,12
促进,Y,630.5833333,12
保存,Y,583.25,12
保释,Y,642,12
假扮,Y,697.6666667,12
偏离,Y,680,11
停手,Y,567.5833333,11
催眠,Y,580.5833333,11
充分,Y,624.9166667,11
光线,Y,568.75,10
光荣,Y,551.6666667,11
克服,Y,563.5833333,11
公共,Y,596.5833333,11
公爵,Y,701.5833333,12
公顷,Y,651.5,9
兴建,Y,746.3333333,9
兼并,Y,650.75,9
内容,Y,552.1666667,12
内心,Y,628.0833333,12
冒牌,Y,655.0833333,12
军区,Y,606.6666667,11
军帽,Y,632,12
冲浪,Y,655,12
决斗,Y,624.25,12
减速,Y,590.1666667,12
出台,Y,613.3333333,11
分心,Y,707,11
分歧,Y,612.9166667,12
创建,Y,604.5833333,11
判决,Y,577.3333333,12
利诱,Y,673.8333333,10
别针,Y,764.1666667,11
制约,Y,640.0833333,12
剂量,Y,633.4166667,10
剪贴,Y,725,12
加仑,Y,742.1666667,8
加工,Y,651.5,12
勒索,Y,655.25,11
十月,Y,605.6666667,12
卧底,Y,629.75,12
卷烟,Y,629,12
历来,Y,659.4166667,11
参展,Y,683.3333333,11
及其,Y,741.6666667,9
反映,Y,559.3333333,12
发射,Y,576,12
发送,Y,609.4166667,12
叫嚷,Y,710.25,11
各界,Y,698.3333333,11
合资,Y,570.5,12
同期,Y,679.8333333,11
否定,Y,558.4166667,10
